state,zone
1,north
2,north
3,north_west
4,north_west
5,north
6,north_west
7,north_west
8,north_west
9,gangetic_plains
10,gangetic_plains
11,north_east
12,north_east
13,north_east
14,north_east
15,north_east
16,north_east
17,north_east
18,north_east
19,gangetic_plains
20,central
21,central
22,central
23,central
24,west
25,west
26,west
27,west
28,south
29,south
30,west
31,south
32,south
33,south
34,south
35,islands
